,zip,arrest_count
0,10452,495
1,10457,392
2,10035,373
3,11208,348
4,10013,341
5,10466,323
6,10019,297
7,10454,296
8,11212,285
9,10036,271
10,10027,269
11,10467,268
12,10456,264
13,10451,262
14,10468,261
15,11432,255
16,11207,252
17,11201,252
18,10029,248
19,10473,242
20,11373,242
21,11226,241
22,11213,239
23,10031,239
24,11385,228
25,11224,227
26,10453,225
27,10002,224
28,11434,222
29,10032,218
30,10001,213
31,10301,205
32,11691,205
33,11237,200
34,10455,199
35,11221,198
36,10458,197
37,11236,196
38,11101,195
39,10030,194
40,10025,193
41,11216,185
42,10018,184
43,10011,177
44,11103,175
45,10003,173
46,11354,173
47,11412,170
48,11220,168
49,10460,168
50,10459,168
51,10033,168
52,11206,167
53,11418,165
54,10463,164
55,11211,157
56,10014,155
57,11230,155
58,10009,154
59,10010,153
60,11232,152
61,11210,149
62,10472,149
63,11203,146
64,11369,145
65,10314,138
66,11375,138
67,11223,136
68,11368,134
69,11428,133
70,11225,131
71,11435,130
72,11417,127
73,10474,124
74,10465,122
75,11233,121
76,11214,119
77,10461,117
78,11234,114
79,10306,113
80,11217,112
81,10304,110
82,11205,106
83,11433,104
84,11365,104
85,11219,102
86,11355,102
87,11235,100
88,10039,98
89,10303,97
90,10005,92
91,11420,90
92,11231,90
93,10065,90
94,11377,88
95,10469,88
96,10037,86
97,11419,85
98,11222,84
99,10462,81
100,10016,79
101,10022,78
102,11209,76
103,10034,74
104,11372,74
105,10026,71
106,10024,71
107,11415,69
108,11106,66
109,10040,65
110,10012,65
111,10310,63
112,10302,62
113,11204,59
114,11218,58
115,11238,57
116,11102,55
117,11239,54
118,11229,52
119,10470,52
120,11693,51
121,11413,50
122,11361,45
123,10312,42
124,11215,42
125,10023,41
126,10307,41
127,10475,40
128,11427,40
129,10017,40
130,11423,39
131,10305,38
132,10007,35
133,10122,34
134,10128,33
135,11228,33
136,11105,33
137,11378,32
138,11249,31
139,11416,31
140,11692,31
141,11429,30
142,11436,30
143,11421,30
144,11370,29
145,11356,29
146,10309,26
147,11374,25
148,11379,24
149,11357,23
150,10021,23
151,11367,22
152,11694,21
153,10119,21
154,11422,20
155,10028,19
156,11104,19
157,10111,18
158,11358,18
159,11364,17
160,10471,16
161,11411,16
162,11414,13
163,10038,13
164,11362,12
165,11360,12
166,11040,10
167,11363,9
168,10115,9
169,11004,8
170,10044,8
171,10129,8
172,10075,7
173,11366,7
174,10281,7
175,10308,7
176,10004,6
177,10199,5
178,11426,5
179,11227,5
180,11371,4
181,10282,4
182,10006,4
183,11001,4
184,11109,3
185,10048,3
186,10278,3
187,10107,3
188,10069,3
189,10158,2
190,11430,2
191,11251,2
192,10311,2
193,10275,2
194,11252,2
195,11425,1
196,10803,1
197,10152,1
198,10464,1
199,11439,1
200,12692,1
201,10000,1
202,11096,1