zip_code,commute_time
10001,27.8
10002,33
10003,25.7
10004,26.5
10005,24.2
10006,28.7
10007,26.2
10009,32.8
10010,30.1
10011,24.3
10012,24.7
10013,26.1
10014,26.1
10016,25
10017,26.4
10018,27.1
10019,26.6
10021,31
10022,26.1
10023,30.1
10024,32
10025,34.5
10026,35.8
10027,34.1
10028,32
10029,34.9
10030,38.5
10031,39.9
10032,39.8
10033,42.1
10034,43.3
10035,37
10036,28.7
10037,38.4
10038,27.4
10039,41.6
10040,41.9
10044,36.9
10065,26.6
10069,31.1
10075,29.3
10128,33.4
10162,28.4
10280,28.9
10282,27.2
10301,44.1
10302,42
10303,45.4
10304,46.6
10305,45.9
10306,44.9
10307,44.8
10308,48.7
10309,47.1
10310,41.6
10312,46.5
10314,43.4
10451,41.1
10452,43.6
10453,44.1
10454,42.3
10455,45.1
10456,43.9
10457,45.6
10458,44.1
10459,44.2
10460,43.5
10461,42.4
10462,48.4
10463,46.8
10464,40.7
10465,40.7
10466,47.3
10467,47.3
10468,47
10469,45.7
10470,48.2
10471,45.2
10472,45.9
10473,46.3
10474,44.1
10475,50.9
11001,38.7
11004,38.8
11005,48.6
11101,35.1
11102,40.7
11103,40
11104,39.6
11105,41.8
11106,39.9
11109,34.4
11201,32.7
11203,46.8
11204,42.5
11205,36.7
11206,37.8
11207,47.9
11208,43
11209,45.8
11210,46.4
11211,32.3
11212,48.3
11213,42.6
11214,48
11215,40.3
11216,41.8
11217,36
11218,42.2
11219,36.6
11220,44.4
11221,43.6
11222,38.1
11223,46
11224,50.2
11225,42.8
11226,45.6
11228,43.8
11229,48.2
11230,40.7
11231,37
11232,41.6
11233,43.9
11234,49.1
11235,46.1
11236,50.3
11237,40.2
11238,38.2
11239,56.9
11354,41.5
11355,40
11356,42.2
11357,41.8
11358,43.1
11360,43.8
11361,41.4
11362,44.4
11363,44.3
11364,46.4
11365,46.7
11366,43.8
11367,42.2
11368,45.3
11369,43.9
11370,41.7
11372,42
11373,42.9
11374,43.4
11375,45.2
11377,36.7
11378,42.7
11379,44.2
11385,42.7
11411,50
11412,48.7
11413,51.1
11414,42.2
11415,44.2
11416,48.1
11417,47.4
11418,46.3
11419,48.4
11420,47.6
11421,48.2
11422,51.6
11423,46.3
11426,44.2
11427,47
11428,47.1
11429,51.2
11430,92.1
11432,47
11433,47.5
11434,49.7
11435,46.4
11436,48.7
11691,49.3
11692,55.6
11693,53.3
11694,46.4
11697,46.6