zip_code,pop_pct_black
10001,6.3
10002,8.9
10003,5.6
10004,4.3
10005,1.1
10006,3.2
10007,8.2
10009,8.6
10010,9.4
10011,4.4
10012,2.7
10013,3.8
10014,1.4
10016,3.8
10017,2
10018,5.2
10019,6
10021,0.7
10022,1.5
10023,4.7
10024,4.2
10025,11.6
10026,51.2
10027,37.7
10028,1.5
10029,32.7
10030,62.2
10031,28
10032,19.1
10033,10.3
10034,13.9
10035,40.2
10036,7.6
10037,71.2
10038,9.3
10039,62.5
10040,9.9
10044,12.6
10065,2.3
10069,3.8
10075,3.2
10128,3.6
10162,0
10279,0
10280,2.7
10282,1
10301,23.6
10302,22
10303,34.3
10304,29
10305,7.4
10306,3.4
10307,0.4
10308,1.2
10309,0.7
10310,21.4
10312,0.9
10314,3.7
10451,39.7
10452,32.6
10453,33.6
10454,33.2
10455,30.4
10456,46.3
10457,45
10458,19
10459,32.7
10460,34.3
10461,9.4
10462,28.7
10463,16.3
10464,0
10465,13.3
10466,71.5
10467,35.5
10468,25.3
10469,56.6
10470,42.8
10471,11.2
10472,27.4
10473,39.5
10474,42
10475,64.3
11001,5.8
11004,6.1
11005,0
11101,14.9
11102,9.2
11103,2.6
11104,2.1
11105,2.5
11106,7.7
11109,0.9
11201,13.2
11203,89
11204,1.2
11205,31
11206,24.7
11207,65.3
11208,53.8
11209,3.2
11210,58.7
11211,6.5
11212,79.8
11213,65.2
11214,2
11215,4.6
11216,54
11217,20.3
11218,7.9
11219,1.2
11220,2.8
11221,46.9
11222,3.6
11223,4.7
11224,22.1
11225,60.9
11226,68
11228,1.3
11229,6.1
11230,7.4
11231,15.3
11232,7.2
11233,77
11234,45.3
11235,2.2
11236,86
11237,13.8
11238,34.1
11239,58.7
11354,3.2
11355,3.4
11356,2.4
11357,0.6
11358,0.8
11360,1.2
11361,4.3
11362,3.4
11363,1.9
11364,3.8
11365,9.5
11366,5.8
11367,7.3
11368,9.2
11369,17.1
11370,14.3
11372,2.8
11373,2
11374,4.2
11375,2.7
11377,3
11378,1.8
11379,1.1
11385,2.6
11411,92.8
11412,87.9
11413,91.5
11414,2.6
11415,7
11416,6.2
11417,7.2
11418,8.3
11419,16
11420,25.4
11421,4.3
11422,84.1
11423,38.9
11426,6
11427,20.8
11428,21.4
11429,73.1
11430,67.5
11432,16.1
11433,64.4
11434,85.9
11435,24.4
11436,62.9
11691,46.9
11692,59.8
11693,21.8
11694,6.6
11697,0.6