zip,percent_college
10001,68.3
10002,33.4
10003,79.5
10004,91.8
10005,90.3
10006,89.3
10007,82
10009,58.6
10010,77.8
10011,80.7
10012,78.9
10013,65.7
10014,85.2
10016,82.5
10017,83.2
10018,70.3
10019,73.4
10021,78.6
10022,82.7
10023,80.9
10024,82
10025,66.3
10026,45.3
10027,50
10028,83.8
10029,31.9
10030,31.1
10031,37.6
10032,31.6
10033,37.9
10034,35.2
10035,28.2
10036,73.2
10037,39.6
10038,59.4
10039,30.2
10040,37.1
10044,59.9
10065,83.4
10069,88.3
10075,76.8
10128,81.5
10162,78.4
10279,42.9
10280,89.6
10282,82.4
10301,38
10302,26.7
10303,24.9
10304,30.4
10305,33.3
10306,30.7
10307,38.6
10308,37.6
10309,34.4
10310,35.1
10312,36
10314,35.6
10451,19.6
10452,14.5
10453,13
10454,10.2
10455,11.9
10456,12.5
10457,12.7
10458,13.9
10459,14.3
10460,12.8
10461,28.3
10462,25.9
10463,40.2
10464,46.6
10465,26.5
10466,23.1
10467,19.5
10468,15.3
10469,26.7
10470,31.5
10471,55.5
10472,14.1
10473,18.8
10474,13.1
10475,24.7
11001,47.3
11004,43.7
11005,53.8
11101,51.8
11102,50.3
11103,52.8
11104,48.6
11105,50.3
11106,50
11109,83.2
11201,75.4
11203,24.5
11204,27.5
11205,45.6
11206,28.5
11207,17.5
11208,13.6
11209,51.1
11210,36.2
11211,51
11212,14.5
11213,29.5
11214,31.2
11215,76.7
11216,49.2
11217,68.3
11218,46.7
11219,19.8
11220,20.9
11221,32.8
11222,58.9
11223,32.9
11224,37.7
11225,40.6
11226,30.1
11228,35.6
11229,36.8
11230,42.3
11231,64.5
11232,31.5
11233,26.6
11234,35.6
11235,49.2
11236,28.3
11237,31.9
11238,64.4
11239,19.9
11354,20.7
11355,20.5
11356,19.9
11357,37.8
11358,31.7
11360,52.9
11361,42.9
11362,46.4
11363,56
11364,42.6
11365,38.2
11366,43.9
11367,38.8
11368,12.6
11369,18.1
11370,21.4
11372,28.7
11373,26.5
11374,51.3
11375,62
11377,29.6
11378,26.7
11379,34.3
11385,28.6
11411,34.5
11412,24
11413,27.1
11414,27.3
11415,47.9
11416,21.5
11417,25.2
11418,27.4
11419,21.2
11420,20.2
11421,24.9
11422,25.5
11423,30.9
11426,38.8
11427,33.4
11428,21.7
11429,26.6
11430,8.3
11432,37
11433,16.9
11434,21.6
11435,27.9
11436,19.7
11691,25.8
11692,23.6
11693,26.5
11694,42.8
11697,50.4