Total,Concerned about possible side effects,Don’t know if a vaccine will work,Don’t believe I need a vaccine,Don’t like vaccines,Doctor has not recommended it,Plan to wait and see if it is safe,Concerned about the cost,Other people need it more right now,Don’t trust COVID-19 vaccines,Don’t trust the government,Don’t think COVID-19 is a big threat,Hard for me to get a vaccine,Believe one dose is enough protection,Experienced side effects from first dose,Other,Did not report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,315,729","656,263","320,711","140,841","94,759","165,443","675,199","125,601","291,305","134,611","95,857",0,0,0,0,"49,201",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,361,190","761,982","239,303","103,717","36,215","175,289","886,810","55,795","218,205","156,715","93,533",0,0,0,0,"13,778","29,179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"937,368","440,421","215,304","31,658","33,244","22,021","480,572","18,857","173,656","69,783","84,190",0,0,0,0,"45,761","122,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,082,552","463,154","157,366","66,216","57,077","56,981","614,668","16,600","121,118","217,205","340,519",0,0,0,0,"139,518","12,804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"616,858","414,376","170,808","7,531","41,094","69,119","319,807","12,012","219,265","76,534","34,007",0,0,0,0,"24,884",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"649,683","321,037","97,595","2,865","53,013","19,779","401,131",0,"245,926","164,384","49,779",0,0,0,0,"45,863",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"649,984","429,012","165,368","89,008","59,959","99,453","240,222","20,702","4,655","199,956","114,376",0,0,0,0,"68,869","9,309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"688,309","147,925","78,813","50,833","150,222","11,214","353,105",0,"63,040","50,872","66,034",0,0,0,0,"49,649",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"541,298","132,049","15,139","38,389","9,758","27,597","167,520",0,"65,608","264,249","31,411",0,0,0,0,"30,747",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"409,762","83,401","68,350","71,070","73,939",0,"118,762",0,"4,938","86,533","130,521",0,0,0,0,"147,171","20,157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"496,914","257,226","47,257","50,690","60,413","26,934","229,559",0,"81,743","206,972","43,698",0,0,0,0,"67,783",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"536,372","259,531","48,062","33,846","63,084","18,010","180,339",0,"15,889","154,159","65,401",0,0,0,0,"183,537",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"391,159","81,332","61,545","109,774",0,0,"118,789",0,0,"164,800","53,736","6,036",0,0,0,"13,171","21,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"216,433","109,342","62,321","28,175",0,"16,569","93,426",0,0,"67,267","11,606","11,606",0,0,"14,832","19,819",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"366,209","278,535","134,557","68,633",0,"10,316","127,196",0,0,"85,049","147,033","10,316","25,629",0,0,"11,562","24,754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"408,808","204,327","134,666","116,750",0,"67,801","232,549","20,993",0,"183,898","165,743","61,968",0,0,0,"101,531",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"371,645","233,433","127,443","70,365",0,"6,129","88,374",0,0,"100,803","100,803","30,438",0,0,0,"73,020",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"444,832","190,410","134,594","49,075",0,"2,447","170,111","2,447",0,"120,408","100,465","2,447","2,447",0,0,"200,293",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"225,975","108,045","14,741","93,304",0,0,"50,566",0,0,"112,912","107,907",0,"50,566",0,0,"93,297","19,903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"230,758","52,253","16,425",0,0,"5,714","8,391",0,0,"84,062","117,945",0,"7,112",0,"1,321",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"140,932","80,852","36,924",0,0,0,"21,140",0,0,"53,639","30,313",0,0,0,0,"44,296",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"190,902","32,719","53,923","3,875",0,0,"22,300",0,0,"68,514","32,178",0,0,0,0,"69,144","22,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"77,854","9,456","9,456","13,041",0,0,"9,456",0,0,"47,424","37,968","37,968",0,0,0,"68,397",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"302,129","90,761","46,479","42,765",0,"12,850","52,148","21,909",0,"87,514","42,765","29,086",0,0,0,"155,835",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,